D_B_hat,D_eta_hat,T_MeV,accepted_by_residual,c_s,charge_fraction,horizon_gauge_defect,linear_residual,mode,mu_MeV,omega_hat_imag,omega_hat_real,omega_numeric_imag,omega_numeric_real,optimizer_success,phi0,primitive_constraint_maximum,qhat,sector,sigma_Q_over_T,source_determinant_abs,source_singular_value,trajectory,zeta_over_eta
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,6.456655215599866e-16,1.8922852008569447e-17,shear,0.0,-0.00020001165536525682,-4.435207618253268e-30,-0.00010000582768262841,-2.217603809126634e-30,True,1.0,1.9004341117095364e-09,0.02,helicity1,0.04674764695838896,9.621969889505063e-17,9.61473501619448e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,3.955923121553489e-18,6.747114403467475e-18,sound,0.0,-0.00015036858916357525,0.010660664724047234,-7.518429458178762e-05,0.005330332362023617,True,1.0,9.070261517672297e-06,0.02,helicity0,0.04674764695838896,4.238914388370637e-14,4.4612082591881627e-14,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,5.690564766075774e-19,7.22243501802846e-18,diffusion,0.0,-0.00039960818710420363,-3.0466159849159737e-20,-0.00019980409355210182,-1.5233079924579868e-20,True,1.0,2.1307509304288885e-11,0.02,helicity0,0.04674764695838896,1.0228744108304889e-18,4.498808267491379e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,4.256075631742888e-16,1.724783035614194e-17,shear,0.0,-0.0004500590112418742,-5.090285733208285e-29,-0.0002250295056209371,-2.5451428666041426e-29,True,1.0,1.9457791025708285e-09,0.03,helicity1,0.04674764695838896,1.2777479721559006e-16,1.2755965739457745e-16,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,1.3831822079683885e-18,7.433395097650804e-18,sound,0.0,-0.00033831658041876927,0.01599351144009405,-0.00016915829020938464,0.007996755720047025,True,1.0,9.054752897497302e-06,0.03,helicity0,0.04674764695838896,3.885816772538172e-15,4.425028415045136e-15,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.938315008125281e-18,6.810946729125188e-18,diffusion,0.0,-0.0008994147094735754,-1.3086342974239756e-19,-0.0004497073547367877,-6.543171487119878e-20,True,1.0,2.3980533883853902e-11,0.03,helicity0,0.04674764695838896,2.3041560610986314e-18,1.0087853586807075e-16,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,1.196482244077816e-17,2.0934557071893443e-17,shear,0.0,-0.0008001865306761555,3.3910753690422743e-28,-0.00040009326533807776,1.6955376845211372e-28,True,1.0,2.009271925478039e-09,0.04,helicity1,0.04674764695838896,8.871908405941682e-17,8.845529739866724e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.7515853794820678e-18,7.122010457171339e-18,sound,0.0,-0.000601419969538513,0.021329375817182042,-0.0003007099847692565,0.010664687908591021,True,1.0,9.03146386678766e-06,0.04,helicity0,0.04674764695838896,3.161610900427012e-15,4.078577548146984e-15,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.422086687995472e-18,7.242807882842713e-18,diffusion,0.0,-0.001599697864497682,5.397045572569285e-20,-0.000799848932248841,2.6985227862846426e-20,True,1.0,2.5098122474259594e-11,0.04,helicity0,0.04674764695838896,3.0290972631170167e-19,1.3105927316585429e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,4.0087341709751446e-16,1.7340297779578203e-17,shear,0.0,-0.0012504554785938413,8.51996217807641e-32,-0.0006252277392969207,4.259981089038205e-32,True,1.0,2.0909248713201997e-09,0.05,helicity1,0.04674764695838896,2.4711585816673213e-17,2.4597775510907918e-17,neutral,0.17039656393590866
