phi0,charge_fraction,sector,T_MeV,mu_over_T,Re_w,Im_w,resolution_spread
0.55,0.18,tensor,423.74398893981686,2.3360603099404433,1.59193817860809,-1.4364614261384459,3.809959926660317e-10
0.55,0.18,vector,423.74398893981686,2.3360603099404433,1.0524534142176412,-0.9096399299581401,5.2108837982299825e-08
0.692408976486792,0.18,tensor,357.9545558551435,2.3214313966563727,1.5941103253746678,-1.417025890846329,3.7426512130901287e-10
0.692408976486792,0.18,vector,357.9545558551435,2.3214313966563727,1.0512882198905797,-0.8963401080371718,3.9906000890029604e-08
0.8716912558536125,0.18,tensor,303.38024041865896,2.2968688914031765,1.5972451786533008,-1.3870185767870964,3.6361982878839144e-10
0.8716912558536125,0.18,vector,303.38024041865896,2.2968688914031765,1.0485564301931452,-0.8724334572742295,2.1393788972538065e-08
1.097394273232884,0.18,tensor,258.2979164238773,2.254159427031307,1.601609562139548,-1.34143768119136,3.528778241528436e-10
1.097394273232884,0.18,vector,258.2979164238773,2.254159427031307,1.0427773635479116,-0.8278834366700729,1.3931773916078437e-08
1.3815375373302692,0.18,tensor,221.18850796290954,2.177052571547353,1.6074389123590824,-1.2740110468493258,3.3697814376713353e-10
1.3815375373302692,0.18,vector,221.18850796290954,2.177052571547353,1.0345895483496756,-0.7456354935552252,6.3991113233856225e-09
1.7392527130926088,0.18,tensor,190.65753375422184,2.0392604893714217,1.6147084394661937,-1.1785011240240821,3.2510423185589594e-10
1.7392527130926088,0.18,vector,190.65753375422184,2.0392604893714217,1.0363226172542115,-0.6103543347396517,2.317686422214504e-09
2.1895894380442353,0.18,tensor,165.36804864216217,1.8372061826060497,1.6221538617724476,-1.05277412690101,1.357577240568236e-10
2.1895894380442353,0.18,vector,165.36804864216217,1.8372061826060497,1.0773330207752738,-0.43321248851789534,6.116012439312029e-10
2.7565297849499983,0.18,tensor,143.61562885790497,1.7212359174929386,1.6278422423508505,-0.9064993353041891,8.047401469675425e-09
2.7565297849499983,0.18,vector,143.61562885790497,1.7212359174929386,1.1929295537222604,-0.2533141033692382,8.020367078282813e-09
3.4702653946410638,0.18,tensor,122.47510750369,2.238925646805175,1.6389591406523907,-0.7673216642776323,8.453465315823422e-07
3.4702653946410638,0.18,vector,122.47510750369,2.238925646805175,1.4223325673312983,-0.10669825435909472,8.823967219875958e-07
4.368805290983549,0.18,tensor,98.37616349400011,6.420968447918381,1.6805416065371914,-0.6843036179426656,2.6909665623772947e-05
4.368805290983549,0.18,vector,98.37616349400011,6.420968447918381,1.8372735339253796,-0.020400731190894087,0.00036293820473184946
5.5,0.18,tensor,69.6637781841754,80.00585726397193,1.7636703554599484,-0.7310174261700718,0.002708047251335258
