accepted_by_residual,charge_fraction,horizon_gauge_defect,linear_residual,mode,omega_hat_imag,omega_hat_real,omega_numeric_imag,omega_numeric_real,optimizer_success,phi0,primitive_constraint_maximum,qhat,sector,source_determinant_abs,source_singular_value,trajectory
True,0.34637356467181973,4.3236541251402103e-20,9.707011552829903e-18,diffusion,-6.143952641714959e-07,-0.0,-3.0719763208574794e-07,-0.0,True,3.528280966207555,9.086504253476482e-07,0.04,helicity0,1.3903089659905989e-11,6.130193326395926e-12,MAP_CEP
True,0.34637356467181973,1.0029520108973753e-19,1.050499949921035e-17,diffusion,-1.4987239587911474e-06,-0.0,-7.493619793955737e-07,-0.0,True,3.528280966207555,9.085329534271511e-07,0.05,helicity0,1.6728315974155346e-11,7.474152629503943e-12,MAP_CEP
True,0.34637356467181973,1.689008709854107e-19,9.157099722334543e-18,diffusion,-3.1016964681972784e-06,-0.0,-1.5508482340986392e-06,-0.0,True,3.528280966207555,9.084604282532163e-07,0.06,helicity0,3.3855193309551813e-12,1.537585608664216e-12,MAP_CEP
True,0.34637356467181973,8.669780871514677e-20,1.1037685221753228e-17,diffusion,-9.745018887913044e-06,-0.0,-4.872509443956522e-06,-0.0,True,3.528280966207555,9.082790099310259e-07,0.08,helicity0,1.4373704685445688e-11,6.808575271295326e-12,MAP_CEP
True,0.34637356467181973,5.0083127658552956e-20,7.894225125505731e-18,diffusion,-2.3600910899344866e-05,-0.0,-1.1800455449672433e-05,-0.0,True,3.528280966207555,9.081008098287753e-07,0.1,helicity0,7.564823284053867e-12,3.784889657746575e-12,MAP_CEP
True,0.34637356467181973,2.896924690476132e-20,8.730694636472858e-18,diffusion,-4.845723438899186e-05,-0.0,-2.422861719449593e-05,-0.0,True,3.528280966207555,9.078566120466301e-07,0.12,helicity0,1.0599484052503425e-11,5.668640867827168e-12,MAP_CEP
True,0.34637356467181973,8.826393431450975e-21,1.594447155363457e-17,diffusion,-0.00011619327471484907,-0.0,-5.8096637357424536e-05,-0.0,True,3.528280966207555,9.07382199117092e-07,0.15,helicity0,4.038801595704551e-12,2.431132229370685e-12,MAP_CEP
