sector,mode,Re_omega_num,Im_omega_num,Re_w,Im_w,residual,resolution_spread
tensor,0,0.9367057664408328,-0.433412625425866,1.8734115328816656,-0.866825250851732,1.47772713412273e-16,5.200527635684636e-06
tensor,1,1.4635629682129452,-0.7915281893227206,2.9271259364258904,-1.5830563786454412,1.4655533967329438e-16,0.00011583987647599206
tensor,2,-1.8956381304548346e-13,-1.4711919448311466,-3.7912762609096693e-13,-2.942383889662293,1.7345076351287166e-16,0.003174218034623255
vector,0,0.8442711948294281,-0.051583778356833705,1.6885423896588563,-0.10316755671366741,1.0149372769651299e-16,3.998724972533049e-06
vector,1,1.448620429816567,-0.4316545497216871,2.897240859633134,-0.8633090994433742,1.1783104135177476e-16,0.0017191679164605615
vector,2,-8.245358315303496e-14,-1.0358303277579004,-1.6490716630606992e-13,-2.071660655515801,1.0754257586929576e-16,0.0018501657658795967
singlet,0,0.745748548075841,-0.12777801724686152,1.491497096151682,-0.25555603449372305,3.9367939919845095e-17,0.002977991916594472
