sector,mode,Re_omega,Im_omega,source_residual,success,optimizer_success,distance_from_initial,evaluations
tensor,0,0.9365852064372638,-0.43344931655843155,9.47508224301455e-15,True,True,0.00012601965588547159,3
tensor,1,1.5756605455107127,-0.7242112422374728,3.459719862488411e-11,False,True,0.13075717265567885,10
tensor,2,2.054389630384882e-06,-1.2211919448311468,48527.87829342466,False,True,0.2500000000084408,13
vector,0,0.8442710399991116,-0.05158393566646418,3.9279184964957006e-14,True,True,2.2072323567883353e-07,2
vector,1,1.4487766219732154,-0.43172065892849076,9.633646207779098e-14,True,True,0.00016960665382788847,3
vector,2,0.2499999999999175,-0.7858303277579005,109.70777604396055,False,True,0.3535533905932737,32
singlet,0,0.7462047610067616,-0.12804252173623262,9.304897052683321e-12,True,True,0.0005273451082892549,3
