D_B_hat,Gamma_s_hat,T_MeV,background,c_s_squared,charge_fraction,chi_B,chi_B_over_T2,fold_coordinate,mode,mu_B_MeV,omega_hat_imag,omega_hat_real,phi0,primitive_constraint_maximum,projection_delta_epsilon,projection_delta_rho_B,projection_delta_u_z,provenance,qhat,record_type,source_determinant_abs,source_singular_value,susceptibility_determinant,susceptibility_eigenvalues
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,sound_minus,649.9999999921937,-2.5010528919878073e-06,-0.0009040588842440387,3.031381881255853,,0.46931322479547916,0.4693134667277442,0.0613733084767766,,0.0025,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,diffusion,649.9999999921937,-3.7539055957644694e-07,-2.2327669249613394e-20,3.031381881255853,,0.2897820305190322,0.7102179629472838,6.5336840167152234e-09,,0.0025,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,sound_plus,649.9999999921937,-2.501052891987699e-06,0.0009040588842440382,3.031381881255853,,0.46931322479547916,0.4693134667277442,0.06137330847677657,,0.0025,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,sound_minus,649.9999999921937,-1.0004225636343854e-05,-0.0018081139521442036,3.031381881255853,,0.4693123444408628,0.4693133121552539,0.06137434340388324,,0.005,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,diffusion,649.9999999921937,-1.5015341015141624e-06,1.7125234152315986e-19,3.031381881255853,,0.2897826004924152,0.7102173733737767,2.6133808035319913e-08,,0.005,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,sound_plus,649.9999999921937,-1.0004225636343164e-05,0.0018081139521442032,3.031381881255853,,0.4693123444408628,0.469313312155254,0.06137434340388325,,0.005,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,sound_minus,649.9999999921937,-2.250956043651254e-05,-0.0027121613876605467,3.031381881255853,,0.4693108771953275,0.46931305449769367,0.061376068306978726,,0.0075,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,diffusion,649.9999999921937,-3.3783462189362717e-06,1.4449005929597845e-19,3.031381881255853,,0.2897835504106595,0.7102163907917524,5.8797588146872915e-08,,0.0075,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,sound_plus,649.9999999921937,-2.250956043651303e-05,0.002712161387660546,3.031381881255853,,0.4693108771953277,0.46931305449769356,0.06137606830697864,,0.0075,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
0.06006286409587455,0.4001682754377701,99.19046554945395,hot_stable,0.13077177860253247,0.45425483938006456,16938.322988464683,1.7215932559265004,-0.21,sound_minus,649.9999999921937,-4.0017127625744716e-05,-0.0036161973753609266,3.031381881255853,,0.4693088230771047,0.46931269369995915,0.06137848322293614,,0.01,hydrodynamic_eigenmode,,,1388345080.0671008,"[1354189.8299727077, 1025.2219071052077]"
