sector,mode,study,N,r_cut,Re_omega,Im_omega,distance_to_shooting,pencil_residual,eigenvalue_condition,right_overlap_previous
tensor,0,radial_resolution,64,10.0,0.9545311306342619,-0.45026952341237764,0.024596250809705414,3.656199535308488e-16,nan,nan
tensor,0,radial_resolution,80,10.0,0.9359087931639724,-0.43455305147299633,0.0012945136839424397,4.302194181548988e-16,nan,0.9999960224199242
tensor,0,radial_resolution,96,10.0,0.9366675524913125,-0.4333816789627928,0.00010656320641374981,5.200406497033382e-16,nan,0.9999995202732733
tensor,0,radial_resolution,112,10.0,0.9366842040757494,-0.4334092229334738,0.00010680838538226501,5.4825899634232e-16,nan,0.9999997862382654
tensor,0,radial_resolution,128,10.0,0.936700228458397,-0.4334146083869643,0.00012014459002447388,6.757539552057421e-16,nan,0.999999880175681
tensor,0,radial_resolution,144,10.0,0.9367052404536013,-0.4334125593895288,0.00012553586955065885,7.452670176819581e-16,nan,0.999999902500675
tensor,0,radial_resolution,160,10.0,0.9367056487743957,-0.4334120899121966,0.00012606418906127838,7.988957976073668e-16,204825.80662952818,0.9999999557188152
tensor,0,radial_domain,160,8.0,0.9367056364658735,-0.43341219731556446,0.0001260207521876446,8.563640594472608e-16,nan,nan
tensor,0,radial_domain,160,9.0,0.9367056388560272,-0.43341213347770335,0.00012604185408678038,8.026153843651473e-16,nan,0.9999999806448696
tensor,0,radial_domain,160,10.0,0.9367056487743957,-0.4334120899121966,0.00012606418906127838,7.988957976073668e-16,nan,0.999999978028043
tensor,0,radial_domain,160,11.0,0.9367056102475572,-0.4334121543596187,0.00012600835906302128,7.888924314338283e-16,nan,0.9999999648202487
tensor,0,radial_domain,160,12.0,0.9367053920722076,-0.4334124143577358,0.00012572334414508483,6.734629856697333e-16,nan,0.9999999432786609
tensor,1,radial_resolution,64,10.0,1.163153935482743,-0.5515755845181609,0.44717420948993347,3.4799367072899045e-16,nan,nan
tensor,1,radial_resolution,80,10.0,1.490870414955134,-0.5956910896854587,0.15397011350137096,4.364030013313174e-16,nan,0.999769535553784
tensor,1,radial_resolution,96,10.0,1.4504473615517308,-0.822437028693286,0.15914347791225644,4.8322853974929905e-16,nan,0.9999214331813636
tensor,1,radial_resolution,112,10.0,1.460626720654238,-0.791055587051487,0.13304490706045427,5.282267956948126e-16,nan,0.9999978282979091
tensor,1,radial_resolution,128,10.0,1.4634370971069535,-0.7915535453970385,0.13087814243205798,6.564176103485205e-16,nan,0.9999998031180756
tensor,1,radial_resolution,144,10.0,1.4635498671346279,-0.7915399052543038,0.1307744358411839,7.383305984765224e-16,nan,0.9999998480182118
tensor,1,radial_resolution,160,10.0,1.46352998714294,-0.7915031814667858,0.1307725781848398,7.822301898795936e-16,22452028.601548407,0.9999999300918024
tensor,1,radial_domain,160,8.0,1.4635316245121839,-0.7915072424825327,0.13077326398494996,8.236112336193478e-16,nan,nan
tensor,1,radial_domain,160,9.0,1.4635289302346626,-0.7915047226027092,0.13077427745578474,7.780190320748144e-16,nan,0.9999999729232126
tensor,1,radial_domain,160,10.0,1.46352998714294,-0.7915031814667858,0.1307725781848398,7.822301898795936e-16,nan,0.9999999730196955
tensor,1,radial_domain,160,11.0,1.4635367593736754,-0.7915095275643552,0.13077003718605626,7.874099806969767e-16,nan,0.9999999562542335
tensor,1,radial_domain,160,12.0,1.4635468108422214,-0.7915297696103296,0.13077183805761444,6.647105155727027e-16,nan,0.9999999260949853
tensor,2,radial_resolution,64,10.0,2.134402007711242e-12,-1.3895771833934931,0.16838523857487864,3.5486237405264997e-16,nan,nan
tensor,2,radial_resolution,80,10.0,-2.630282213080972e-11,-1.419893146099195,0.19870120127866878,4.2151562429356154e-16,nan,0.9999993094193746
tensor,2,radial_resolution,96,10.0,-1.0016755176140413e-10,-1.4578000771209771,0.23660813229875002,5.01719658331505e-16,nan,0.9999990116223239
tensor,2,radial_resolution,112,10.0,2.489504737818742e-10,-1.4740870974530391,0.2528951526302347,5.242681197989104e-16,nan,0.9999998114930156
tensor,2,radial_resolution,128,10.0,-1.2340415522092056e-10,-1.4743159389086076,0.25312399408579866,6.494099212113068e-16,nan,0.9999999817877916
tensor,2,radial_resolution,144,10.0,-3.974328649351985e-10,-1.4721038088307365,0.25091186400800336,7.230446492309207e-16,nan,0.9999999800027397
