phi0,charge_fraction,sector,T_MeV,mu_over_T,Re_w,Im_w,resolution_spread
0.55,0.18,tensor,423.7439889398164,2.336060309940443,1.5919381786083173,-1.43646142613717,3.8146335124682917e-10
0.55,0.18,vector,423.7439889398164,2.336060309940443,1.0524534142177988,-0.9096399299580398,5.2108904322632536e-08
0.692408976486792,0.18,tensor,357.9545558551459,2.3214313966563727,1.5941103253748508,-1.4170258908467313,3.745333735884403e-10
0.692408976486792,0.18,vector,357.9545558551459,2.3214313966563727,1.0512882198903681,-0.8963401080372588,3.990613593704672e-08
0.8716912558536125,0.18,tensor,303.38024041865987,2.296868891403176,1.5972451786517137,-1.3870185767869705,3.638149943757639e-10
0.8716912558536125,0.18,vector,303.38024041865987,2.296868891403176,1.0485564301932093,-0.8724334572740049,2.1393743779601224e-08
1.097394273232884,0.18,tensor,258.2979164238773,2.254159427031307,1.6016095621392057,-1.3414376811909667,3.533057325469883e-10
1.097394273232884,0.18,vector,258.2979164238773,2.254159427031307,1.0427773635478956,-0.827883436670091,1.3931726778530751e-08
1.3815375373302692,0.18,tensor,221.1885079629108,2.1770525715473528,1.6074389123583894,-1.2740110468493528,3.3721231602716206e-10
1.3815375373302692,0.18,vector,221.1885079629108,2.1770525715473528,1.0345895483497165,-0.7456354935551186,6.399102999781168e-09
1.7392527130926088,0.18,tensor,190.65753375422184,2.0392604893714217,1.614708439465943,-1.1785011240237915,3.2491204209248866e-10
1.7392527130926088,0.18,vector,190.65753375422184,2.0392604893714217,1.036322617254138,-0.6103543347397022,2.3177276483102446e-09
2.1895894380442353,0.18,tensor,165.36804864216217,1.8372061826060497,1.6221538617725713,-1.052774126901015,1.357315181007741e-10
2.1895894380442353,0.18,vector,165.36804864216217,1.8372061826060497,1.0773330207752427,-0.4332124885180059,6.115295795884044e-10
2.7565297849499983,0.18,tensor,143.61562885790497,1.7212359174929386,1.627842242350821,-0.9064993353040648,8.047368156966593e-09
2.7565297849499983,0.18,vector,143.61562885790497,1.7212359174929386,1.1929295537222855,-0.25331410336920407,8.020356003817471e-09
3.4702653946410638,0.18,tensor,122.47510750368917,2.2389256468051753,1.638959140652262,-0.7673216642776083,8.453465342848732e-07
3.4702653946410638,0.18,vector,122.47510750368917,2.2389256468051753,1.4223325673314067,-0.1066982543592024,8.823966799917174e-07
4.368805290983549,0.18,tensor,98.37616349400011,6.420968447918381,1.6805416065372272,-0.6843036179426961,2.6909665614804142e-05
4.368805290983549,0.18,vector,98.37616349400011,6.420968447918381,1.8372735339253756,-0.020400731190939738,0.0003629382047936664
5.5,0.18,tensor,69.6637781841754,80.00585726397193,1.7636703554599547,-0.7310174261700656,0.002708047251330365
