mu_MeV,spinodal_low_T_MeV,spinodal_high_T_MeV,coexistence_T_MeV,phi0_hot,phi0_cold,charge_hot,charge_cold,latent_entropy_MeV3,pressure_residual_MeV4
594.0,103.71838812070482,103.72088126722278,103.71961285799587,3.4664883421324975,3.596194432583179,0.35812146626776425,0.3335808860931988,576812.2019968997,-1.1920928955078125e-07
598.0,103.42610798657307,103.47890123765033,103.45086141701911,3.3579092448411187,3.710569693261843,0.3790673026869654,0.31224781614846336,1571247.2938385122,-1.1920928955078125e-07
602.0,103.11714307005245,103.25106219110438,103.17811875322039,3.2992069025691517,3.7805552374427944,0.39070802349777334,0.29922932604757,2140061.686826486,-1.1920928955078125e-07
606.0,102.79528716372052,103.03284240061302,102.90130605573592,3.253778307410703,3.836645231975952,0.39986728014266865,0.2888017935671742,2587125.1150825773,-1.1920928955078125e-07
610.0,102.46324576153044,102.82228541101131,102.62057798476256,3.216059370462469,3.884973729239961,0.4076228937371938,0.2798167828699821,2963940.820174833,2.384185791015625e-07
614.0,102.12213258003936,102.61826925115712,102.33614965511241,3.1833523969900983,3.9283151010500474,0.41448141698179736,0.27175655926828324,3294862.0198609084,1.430511474609375e-06
618.0,101.77201952337735,102.42005829493311,102.04749004053265,3.1540487648658933,3.9683277559400305,0.42071912388214255,0.2643081231954346,3594640.258867493,0.0
622.0,101.4148878873482,102.22702754331526,101.75524463090848,3.127377309302924,4.005643953320085,0.42648883672551796,0.2573621028640908,3869817.8524104245,-1.1920928955078125e-07
626.0,101.04934418219756,102.03846901067163,101.45902740983442,3.102963696795757,4.040864850283532,0.4318739530346958,0.25080371548872143,4124010.199397124,-1.1920928955078125e-07
630.0,100.67732595560669,101.85384832243892,101.1589270830394,3.080288689486487,4.0742935254439026,0.43695809093211596,0.24457682545041604,4361553.883071393,0.0
634.0,100.29861053437513,101.67310905792048,100.8551747699234,3.0589567220131184,4.106173168570091,0.44180127484061343,0.23863767925837387,4585956.6116169,-1.1920928955078125e-07
638.0,99.91296079691912,101.49611981599828,100.54745658211026,3.0389410199827656,4.1368692646740595,0.44642817332139345,0.23292003270717104,4797799.67811385,1.1920928955078125e-07
642.0,99.52178407685716,101.32247491087965,100.23609698918823,3.0200679181350423,4.16650183617248,0.4508737035479663,0.2274051666089432,4998489.123858713,0.0
646.0,99.1237155837567,101.1521832357999,99.92086461119771,3.0020756178666743,4.195230540182028,0.45516481200314723,0.22206307501794867,5190494.544323788,1.1920928955078125e-07
650.0,98.7201322614926,100.98509835597153,99.60189457113975,2.984889024345463,4.223150768108312,0.4593206221325279,0.21687822245231209,5374468.284827541,0.0
654.0,98.31101702033044,100.82097179534098,99.27929339821138,2.9684830471077004,4.250346452557638,0.463356279706661,0.21183699134602274,5550553.56385377,1.1920928955078125e-07
658.0,97.89565448638261,100.65942008537624,98.95281243177011,2.9527808180227364,4.276842232967224,0.46728343092679026,0.20692996749880424,5719337.347660308,2.384185791015625e-07
662.0,97.47545232354706,100.50082082606004,98.62274751166561,2.9376503276947923,4.302762192598103,0.4711162238695369,0.2021415216370486,5882224.48959491,2.384185791015625e-07
666.0,97.04933521390606,100.34408994858731,98.28891255261902,2.9230805403686833,4.3281445460095025,0.47486276971158853,0.19746240042548177,6039208.01143551,-1.1920928955078125e-07
670.0,96.61804223897597,100.1900863490012,97.95138026047424,2.9090312069221276,4.353031666753824,0.4785321275899674,0.19288591898296029,6190622.470949307,1.1920928955078125e-07
674.0,96.18196025941778,100.03822409308448,97.610260914639,2.8954369800662905,4.377494267978965,0.48213149080600554,0.18840322507145127,6337158.012650929,2.384185791015625e-07
678.0,95.73998912151664,99.88878465157534,97.26536764990756,2.882284055751048,4.4015656671745145,0.48566605516981803,0.18400699779879995,6478871.0936644925,0.0
682.0,95.293518734784,99.74151974826596,96.91690115205904,2.8695182658665317,4.425277177085833,0.48914290976360664,0.17969429796216688,6616306.065885249,0.0
686.0,94.84187213977631,99.59635415111681,96.56475842926022,2.8571195931297946,4.448661187351157,0.4925660033376632,0.17545951537661375,6749624.758727509,1.1920928955078125e-07
690.0,94.38515550446867,99.4534691088191,96.20896642113232,2.84509016490978,4.471732178717964,0.4959400673450813,0.17130008920698808,6878702.221798583,-1.1920928955078125e-07
694.0,93.92407743932354,99.31193506214777,95.84960886901649,2.8333634900275944,4.494531861350749,0.4992687017476986,0.16721166068631296,7004305.264136175,0.0
698.0,93.45751704340559,99.17285814353593,95.48656728794364,2.8219272128493613,4.517049427144547,0.5025550613008303,0.16319302365442984,7126483.119235136,0.0
702.0,92.98656722655095,99.03483341781379,95.11996592013368,2.810813150548232,4.539341761158767,0.5058043743257171,0.15923930966001343,7244788.629970843,3.5762786865234375e-07
706.0,92.51099110747776,98.89905029193959,94.74974121231142,2.799938203350123,4.561401530580945,0.5090162500880666,0.15534966766512331,7360217.026617436,-2.384185791015625e-07
710.0,92.03039225514198,98.76475719362217,94.37591793256098,2.7892993301888738,4.583254876513201,0.512194597829372,0.15152143389546385,7472756.353732012,-1.1920928955078125e-07
714.0,91.54559824626911,98.63213427193952,93.99856167675593,2.7789508433298495,4.604930236987928,0.5153453259289887,0.14775229390817235,7581604.099313148,0.0
718.0,91.05585110527831,98.50137662573016,93.61754052651352,2.768759041506892,4.626425284554671,0.5184621982190573,0.14404065739974156,7688546.697282565,-1.1920928955078125e-07
722.0,90.5616862054237,98.37218818216769,93.23301807719744,2.758816620712476,4.647773702919627,0.5215555161228133,0.14038511066624357,7792235.064877141,-2.384185791015625e-07
726.0,90.06323105819574,98.24422242291827,92.84488476031957,2.7490905150359706,4.668976564276792,0.5246246950266735,0.13678415293299914,7893058.412978156,-1.1920928955078125e-07
730.0,89.55988411541924,98.11826847009756,92.45320205097634,2.7395081104232033,4.690050877385551,0.5276666052288387,0.13323686349659344,7992038.699096382,2.384185791015625e-07
734.0,89.05237842431156,97.99307972805835,92.05798301200262,2.7301588113322555,4.711012010224368,0.5306916376277022,0.1297421140252997,8087788.515526282,-2.384185791015625e-07
738.0,88.54036595803746,97.86957264522269,91.65916673495485,2.7209485153734723,4.73186535768007,0.5336929653756343,0.12629880192210358,8181666.165451594,0.0
742.0,88.02390719980994,97.74754783852241,91.2568508993518,2.7119078990145438,4.752626420714751,0.5366755567198309,0.12290668724462765,8273168.245622182,-1.1920928955078125e-07
746.0,87.50327306422257,97.62651313120018,90.85094627334986,2.7030594872181957,4.773304675779612,0.5396441358463044,0.11956438737452933,8361871.385600555,-2.384185791015625e-07
750.0,86.97805894518201,97.50703860222855,90.44153596605227,2.6943021467640076,4.7939057662241416,0.5425902842642594,0.11627213539421809,8449328.465278098,0.0
754.0,86.4486327089088,97.38895889076382,90.02856663245028,2.68574397260049,4.814445593826764,0.5455263527955677,0.1130287158946806,8533777.926522994,-2.384185791015625e-07
758.0,85.91495540239495,97.27201322887383,89.612057264476,2.6772790329753686,4.834929428650918,0.5484436598371667,0.10983398249356272,8616865.915524825,0.0
762.0,85.3769229399295,97.15613644701791,89.19205164151467,2.668966207094369,4.8553651924784775,0.5513491559884955,0.1066879082723543,8697613.808873462,0.0
766.0,84.83464982512844,97.04191660167729,88.76844336389838,2.6607865541935913,4.87576858157176,0.5542430752050047,0.10358915415718321,8776265.833082829,2.384185791015625e-07
770.0,84.28819811709135,96.92839380049178,88.34138802907864,2.6527012624785518,4.896139478612074,0.557122152784134,0.10053886379313812,8853444.872101052,-1.1920928955078125e-07
774.0,83.7374707471408,96.81595856528357,87.91078184281872,2.644777671722218,4.916491537187057,0.55999559703834,0.09753590433701002,8927966.525746305,-1.1920928955078125e-07
778.0,83.1825002329689,96.70522003392892,87.47658125063373,2.6369045319982716,4.9368261440629295,0.5628514057034344,0.09458008127180031,9001680.401324175,1.1920928955078125e-07
782.0,82.62350146008718,96.59490707177899,87.03899204754124,2.62918118860486,4.9571324638840615,0.5657030623634112,0.09167321449332183,9072858.416214705,-1.1920928955078125e-07
786.0,82.06013087720731,96.48570301515028,86.59767466471091,2.6215377617216,4.977450551501613,0.56854253940488,0.088811982052013,9142652.575858895,0.0
790.0,81.4927479650636,96.3779166952247,86.15303142210746,2.613996612637792,4.997769406365634,0.5713749133786965,0.0859994275555512,9210666.49582961,-3.5762786865234375e-07
794.0,80.92123551001178,96.27109859723646,85.70478224199178,2.6065627473911217,5.018110263226022,0.574200868409994,0.08323340546593319,9276763.178915553,-2.384185791015625e-07
798.0,80.34522094777108,96.16512848651813,85.25292862474892,2.599197646339494,5.038480783860126,0.5770165474006689,0.08051399200342425,9341592.02237654,-4.76837158203125e-07
802.0,79.76572273293935,96.06007160106084,84.79776674809375,2.5919532622591106,5.058875601866607,0.5798308412713722,0.07784324784615831,9404203.051790446,0.0
806.0,79.18169730489959,95.95641349767013,84.33880514803865,2.5847441369010284,5.079324200048351,0.5826317955154191,0.07521791547729004,9466081.791518312,2.384185791015625e-07
810.0,78.59351328356797,95.85351453664062,83.87653150217403,2.577664312029824,5.099815139107101,0.5854339521986379,0.0726412073160463,9525527.29687797,2.384185791015625e-07
814.0,78.00168735859151,95.75108851620722,83.41061647517701,2.570616927826526,5.120335158643144,0.5882250829450728,0.0701119319939984,9584238.436907038,1.1920928955078125e-07
818.0,77.40512713830275,95.65005280560351,82.94112537043648,2.5636769176491203,5.140901573147588,0.5910154496930751,0.06763031886081279,9640820.468056075,2.384185791015625e-07
