method,resolution,T_c_MeV,mu_B_c_MeV,delta_T_from_HDF5_MeV,delta_mu_from_HDF5_MeV
constant_phi0_crossing,100,103.6656095407972,594.7614406136913,-0.23216559491955024,-7.713467040602495
constant_phi0_crossing,200,103.74645842876043,593.6055393539486,-0.15131670695632238,-8.869368300345172
constant_phi0_crossing,400,103.7494704295353,593.5622519891863,-0.14830470618146308,-8.912655665107536
constant_phi0_crossing,800,103.76114237795113,593.3844992609629,-0.136632757765625,-9.090408393330904
local_cusp,finite_difference,103.75528111978664,593.3226560539789,-0.14249401593011157,-9.152251600314912
