T_MeV,accepted_by_residual,charge_fraction,horizon_gauge_defect,hydro_D_B_hat,hydro_omega_hat_imag,linear_residual,mode,mu_MeV,omega_hat_imag,omega_hat_real,omega_numeric_imag,omega_numeric_real,optimizer_success,phi0,primitive_constraint_maximum,qhat,sector,source_determinant_abs,source_singular_value,spinodal_fraction,trajectory
98.78638526138776,True,0.42261491543124396,1.7156290543805316e-19,-0.018287208635110297,1.8287208635110297e-06,6.0337211169236224e-18,diffusion,649.9999999997624,1.8262145014461547e-06,0.0,9.131072507230773e-07,0.0,True,3.251636030161261,1.0389124207448554e-06,0.01,helicity0,5.325342149100854e-13,4.894506672080408e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,7.932905754297596e-20,-0.018287208635110297,7.314883454044119e-06,4.933949152094936e-18,diffusion,649.9999999997624,7.2726140006040035e-06,0.0,3.6363070003020018e-06,0.0,True,3.251636030161261,1.0388579569491583e-06,0.02,helicity0,1.5167591023412555e-12,1.3956961012440374e-12,0.1,f0.10
98.78638526138776,True,0.42261491543124396,9.255256225358894e-20,-0.018287208635110297,1.6458487771599265e-05,5.9907242139515e-18,diffusion,649.9999999997624,1.6242724128832947e-05,0.0,8.121362064416474e-06,0.0,True,3.251636030161261,1.0386749721041723e-06,0.03,helicity0,8.949356348564239e-13,8.252939154954552e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,9.742544900079055e-20,-0.018287208635110297,4.571802158777575e-05,5.79773880417427e-18,diffusion,649.9999999997624,4.405198733424792e-05,0.0,2.202599366712396e-05,0.0,True,3.251636030161261,1.0381905381651384e-06,0.05,helicity0,2.8190153272876217e-13,2.6181268806228446e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,5.401569947726094e-20,-0.018287208635110297,0.0001170381352647059,7.422121649871965e-18,diffusion,649.9999999997624,0.00010621047760918147,0.0,5.3105238804590733e-05,0.0,True,3.251636030161261,1.0370327435237754e-06,0.08,helicity0,6.326619437253209e-13,5.979018998245247e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,8.844332358672354e-20,-0.018287208635110297,0.00026333580434558825,8.255165818335057e-18,diffusion,649.9999999997624,0.0002095790476257249,0.0,0.00010478952381286245,0.0,True,3.251636030161261,1.0346296919469265e-06,0.12,helicity0,3.2234405252459247e-13,3.1651165862819483e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,2.937268693079093e-20,-0.018287208635110297,0.0004681525410588236,7.776400511888493e-18,diffusion,649.9999999997624,0.000302767480955088,0.0,0.000151383740477544,0.0,True,3.251636030161261,1.031364380732745e-06,0.16,helicity0,7.823167084218682e-13,8.105378925566826e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,6.884566375074603e-20,-0.018287208635110297,0.000731488345404412,1.0165480287905704e-17,diffusion,649.9999999997624,0.0003409137216053238,0.0,0.0001704568608026619,0.0,True,3.251636030161261,1.0273311209277155e-06,0.2,helicity0,3.9574117524707937e-13,4.385534719944134e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,1.2982235248220337e-19,-0.018287208635110297,0.001053343217382353,1.050377654744926e-17,diffusion,649.9999999997624,0.0002740838871010889,0.0,0.00013704194355054444,0.0,True,3.251636030161261,1.0224286124507507e-06,0.24,helicity0,2.9753820588118497e-13,3.554113338339073e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,6.288455018004875e-20,-0.018287208635110297,0.0012362153037334563,1.3725200248316314e-17,diffusion,649.9999999997624,0.00018518121231155817,0.0,9.259060615577909e-05,0.0,True,3.251636030161261,1.0197743983935362e-06,0.26,helicity0,1.2090682708530023e-13,1.5016877361845599e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,1.4397120403426912e-19,-0.018287208635110297,0.0014337171569926475,1.0056300482965553e-17,diffusion,649.9999999997624,5.0744632668267744e-05,0.0,2.5372316334133872e-05,0.0,True,3.251636030161261,1.016981422579263e-06,0.28,helicity0,2.522948397258027e-13,3.2661164371397483e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,8.778084910464217e-20,-0.018287208635110297,0.0016458487771599266,1.2278045919900681e-17,diffusion,649.9999999997624,-0.00013547240268509068,-0.0,-6.773620134254534e-05,-0.0,True,3.251636030161261,1.0138868009898593e-06,0.3,helicity0,1.9354109293880201e-13,2.6055744481797336e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,8.738905221196373e-20,-0.018287208635110297,0.0018726101642352944,1.0783995017615543e-17,diffusion,649.9999999997624,-0.00037952465345479164,-0.0,-0.00018976232672739582,-0.0,True,3.251636030161261,1.0108860312911949e-06,0.32,helicity0,2.218127260877675e-13,3.1083490268468884e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,7.226298893765061e-20,-0.018287208635110297,0.0023700222391102943,2.3816009469989738e-17,diffusion,649.9999999997624,-0.001064170030371984,-0.0,-0.000532085015185992,-0.0,True,3.251636030161261,1.0042382046491408e-06,0.36,helicity0,4.7807563002508114e-14,7.308798479168812e-14,0.1,f0.10
98.78638526138776,True,0.42261491543124396,7.400256961635736e-20,-0.018287208635110297,0.002925953381617648,1.5844912113276893e-17,diffusion,649.9999999997624,-0.0020465644801539004,-0.0,-0.0010232822400769502,-0.0,True,3.251636030161261,9.971258567414437e-07,0.4,helicity0,5.1530635476298805e-14,8.584871287287322e-14,0.1,f0.10
98.78638526138776,True,0.42261491543124396,7.433497434068578e-20,-0.018287208635110297,0.003225863603233456,1.0214885337199893e-17,diffusion,649.9999999997624,-0.0026617249034407444,-0.0,-0.0013308624517203722,-0.0,True,3.251636030161261,9.932476415544879e-07,0.42,helicity0,2.2267647257620314e-13,3.919034632677198e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,1.3745424330597563e-19,-0.018287208635110297,0.0037031597486098353,1.2380952463641333e-17,diffusion,649.9999999997624,-0.003751926236689339,-0.0,-0.0018759631183446696,-0.0,True,3.251636030161261,9.872713600461315e-07,0.45,helicity0,3.356802069324389e-13,6.428741013753705e-13,0.1,f0.10
